,created_on,sentiment,playerid,player_name
0,2016-02-02 19:08:24.768,1,40001102,Greg Owen
1,2016-02-02 21:11:40.110,1,40000001,Bubba Watson
2,2016-02-02 21:35:01.757,1,40000007,Brooks Koepka
3,2016-02-03 00:10:15.995,1,40001232,Patrick Rodgers
4,2016-02-03 00:10:50.311,1,40000785,Jason Kokrak
5,2016-02-03 00:11:01.422,1,40000018,Anirban Lahiri
6,2016-02-03 00:12:20.729,1,40001343,Brandt Snedeker
7,2016-02-03 00:12:42.408,1,40000008,J.B. Holmes
8,2016-02-03 14:02:20.078,1,40000358,Jason Dufner
9,2016-02-03 16:15:13.394,1,40001156,Scott Piercy
10,2016-02-03 21:07:50.690,1,40000770,Kevin Kisner
11,2016-02-03 22:43:07.766,1,40000881,Andrew Loupe
12,2016-02-04 03:09:02.515,1,40000770,Kevin Kisner
13,2016-02-04 03:12:48.938,1,40000017,Hideki Matsuyama
14,2016-02-04 03:13:04.854,1,40001107,Ryan Palmer
15,2016-02-04 03:13:23.268,1,40000007,Brooks Koepka
16,2016-02-04 03:17:16.079,1,40000514,Fabian Gomez
17,2016-02-08 20:40:14.067,-1,40000013,Justin Rose
18,2016-02-08 20:40:34.075,1,40000015,Dustin Johnson
19,2016-02-08 20:40:49.575,1,40000009,Jimmy Walker
20,2016-02-09 00:48:26.464,1,40000015,Dustin Johnson
21,2016-02-09 00:58:08.742,1,40001010,Bryce Molder
22,2016-02-09 01:05:23.140,-1,40001163,D.A. Points
23,2016-02-09 01:20:37.888,1,40000777,Colt Knost
24,2016-02-09 01:25:05.011,1,40000777,Colt Knost
25,2016-02-09 01:34:53.516,1,40000991,Phil Mickelson
26,2016-02-09 01:35:29.095,1,40000004,Jordan Spieth
27,2016-02-09 02:15:31.709,1,40000314,Jason Day
28,2016-02-09 02:43:56.415,1,40000008,J.B. Holmes
29,2016-02-09 13:04:41.726,1,40000298,Jon Curran
30,2016-02-09 20:27:06.008,1,40000833,Danny Lee
31,2016-02-09 21:31:01.231,1,40000840,Richard H. Lee
32,2016-02-10 00:58:25.918,-1,40000833,Danny Lee
33,2016-02-10 13:12:18.446,1,40001184,Alex Prugh
34,2016-02-10 13:25:49.770,1,40000959,William McGirt
35,2016-02-10 13:26:34.561,1,40000002,Patrick Reed
36,2016-02-10 15:00:52.254,-1,40000401,Matt Every
37,2016-02-10 15:07:32.189,1,40001343,Brandt Snedeker
38,2016-02-17 03:03:47.588,1,40000479,Sergio Garcia
39,2016-02-17 03:03:54.495,1,40000017,Hideki Matsuyama
40,2016-02-17 03:04:02.520,1,40000014,Matt Kuchar
41,2016-02-17 03:04:12.068,1,40000152,Keegan Bradley
42,2016-02-17 03:13:13.824,1,40000244,K.J. Choi
43,2016-02-17 03:13:37.523,1,40000010,Adam Scott
44,2016-02-17 03:13:44.521,1,40000661,John Huh
45,2016-02-17 03:13:51.366,1,40000720,Matt Jones
46,2016-02-17 03:13:58.629,1,40001402,Andy Sullivan
47,2016-02-17 03:21:12.489,-1,40001425,Vaughn Taylor
48,2016-02-17 03:21:21.751,-1,40001044,Kevin Na
49,2016-02-17 03:49:23.990,1,40000008,J.B. Holmes
50,2016-02-17 03:49:31.981,1,40000009,Jimmy Walker
51,2016-02-17 03:49:42.441,1,40000013,Justin Rose
52,2016-02-17 23:05:22.878,1,40000095,Ricky Barnes
53,2016-02-17 23:05:46.145,1,40000298,Jon Curran
54,2016-02-17 23:05:54.299,1,40000316,Brendon De Jonge
55,2016-02-17 23:06:17.903,1,40000561,Adam Hadwin
56,2016-02-23 01:25:15.469,1,40000991,Phil Mickelson
57,2016-02-23 01:45:19.290,1,40000007,Brooks Koepka
58,2016-02-23 01:45:37.524,1,40000002,Patrick Reed
59,2016-02-23 02:03:33.796,1,40001594,Gary Woodland
60,2016-02-23 02:04:09.656,1,40000115,Daniel Berger
61,2016-02-23 02:24:43.478,1,40000615,Russell Henley
62,2016-02-23 02:25:11.912,1,40000778,Russell Knox
63,2016-02-23 02:25:34.217,1,40000965,Rory McIlroy
64,2016-02-23 02:40:23.060,-1,40000014,Matt Kuchar
65,2016-02-23 02:50:06.077,1,40000006,Paul Casey
66,2016-02-23 02:53:49.431,1,40000010,Adam Scott
67,2016-02-23 02:54:13.402,1,40000003,Rickie Fowler
68,2016-02-23 15:01:46.337,1,40000919,Steve Marino
69,2016-02-23 15:55:52.419,1,40001267,Sam Saunders
70,2016-02-23 19:37:32.231,1,40000561,Adam Hadwin
71,2016-02-23 19:37:44.781,1,40001481,Tyrone Van Aswegen
72,2016-02-23 19:38:06.922,1,40000345,Luke Donald
73,2016-02-24 16:41:22.055,-1,40001313,Webb Simpson
74,2016-02-25 01:51:37.614,1,40000770,Kevin Kisner
75,2016-02-25 01:57:03.910,1,40000924,Ben Martin
76,2016-03-01 11:28:04.133,1,40000001,Bubba Watson
77,2016-03-01 13:17:07.641,1,40000007,Brooks Koepka
78,2016-03-01 13:17:14.516,1,40000015,Dustin Johnson
79,2016-03-01 16:01:08.256,1,40001107,Ryan Palmer
80,2016-03-01 16:01:29.130,1,40000738,Smylie Kaufman
81,2016-03-01 16:01:59.688,1,40001373,Henrik Stenson
82,2016-03-01 16:02:13.402,1,40000008,J.B. Holmes
83,2016-03-01 16:03:05.508,1,40001434,Justin Thomas
84,2016-03-01 19:06:23.265,1,40000005,Bill Haas
85,2016-03-01 20:54:35.843,1,40000010,Adam Scott
86,2016-03-01 20:54:52.708,1,40000427,Ross Fisher
87,2016-03-01 21:50:50.810,-1,40001092,Louis Oosthuizen
88,2016-03-01 21:51:18.742,-1,40001565,Danny Willett
89,2016-03-02 01:55:05.693,1,40000314,Jason Day
90,2016-03-02 12:18:11.075,1,40000479,Sergio Garcia
91,2016-03-02 12:47:35.251,1,40000013,Justin Rose
92,2016-03-02 15:11:50.011,1,40001290,Charl Schwartzel
93,2016-03-03 01:48:43.999,-1,40001290,Charl Schwartzel
94,2016-03-03 01:48:57.844,-1,40000017,Hideki Matsuyama
95,2016-03-03 01:49:05.247,-1,40000778,Russell Knox
96,2016-03-03 01:51:57.638,-1,40000115,Daniel Berger
97,2016-03-08 02:44:03.058,1,40000004,Jordan Spieth
98,2016-03-08 03:08:40.002,1,40000244,K.J. Choi
99,2016-03-08 03:15:04.486,1,40000010,Adam Scott
100,2016-03-08 12:39:30.335,1,40000954,Graeme McDowell
101,2016-03-08 12:48:28.851,1,40000778,Russell Knox
102,2016-03-08 12:50:30.367,1,40000954,Graeme McDowell
103,2016-03-08 12:58:15.519,1,40000785,Jason Kokrak
104,2016-03-08 12:58:24.361,1,40000772,Patton Kizzire
105,2016-03-08 12:58:31.281,1,40000358,Jason Dufner
106,2016-03-08 13:11:34.470,1,40001565,Danny Willett
107,2016-03-08 15:11:19.634,1,40000633,Morgan Hoffmann
108,2016-03-08 15:11:38.846,1,40000661,John Huh
109,2016-03-08 15:20:03.828,-1,40001373,Henrik Stenson
110,2016-03-08 16:28:37.550,1,40001044,Kevin Na
111,2016-03-08 20:41:23.478,1,40001373,Henrik Stenson
112,2016-03-09 01:42:41.517,-1,40001313,Webb Simpson
113,2016-03-09 02:03:28.987,1,40001370,Shawn Stefani
114,2016-03-09 02:03:40.684,1,40000833,Danny Lee
115,2016-03-09 02:20:41.246,1,40000387,Harris English
116,2016-03-09 02:20:49.775,1,40000014,Matt Kuchar
117,2016-03-09 02:25:32.487,1,40000731,Sung-Hoon Kang
118,2016-03-09 02:25:49.861,1,40001405,Daniel Summerhays
119,2016-03-09 02:26:07.201,1,40000345,Luke Donald
120,2016-03-09 02:56:03.336,1,40000693,Fredrik Jacobson
121,2016-03-09 03:11:29.589,-1,40000152,Keegan Bradley
122,2016-03-09 03:11:51.715,-1,40000088,Blayne Barber
123,2016-03-09 03:11:58.459,-1,40000912,Hunter Mahan
124,2016-03-09 03:12:06.545,-1,40001532,Boo Weekley
125,2016-03-09 03:12:44.783,-1,40000011,Chris Kirk
126,2016-03-09 03:12:55.202,-1,40000115,Daniel Berger
127,2016-03-09 03:13:14.079,-1,40000527,Branden Grace
128,2016-03-09 03:13:25.149,-1,40000325,Graham DeLaet
129,2016-03-09 03:13:34.103,-1,40000632,Charley Hoffman
130,2016-03-09 03:13:44.354,-1,40000741,Martin Kaymer
131,2016-03-09 03:13:54.519,-1,40001012,Francesco Molinari
132,2016-03-09 03:14:02.236,-1,40001092,Louis Oosthuizen
133,2016-03-09 03:14:10.184,-1,40001107,Ryan Palmer
134,2016-03-09 03:14:17.420,-1,40001174,Ian Poulter
135,2016-03-09 13:00:02.383,1,40000987,Troy Merritt
136,2016-03-09 13:00:13.325,1,40001071,Sean O'Hair
137,2016-03-09 13:08:49.760,1,40001211,Chez Reavie
138,2016-03-14 11:20:12.981,1,40000401,Matt Every
139,2016-03-14 11:22:33.927,1,40001373,Henrik Stenson
140,2016-03-15 00:34:38.377,1,40000010,Adam Scott
141,2016-03-15 00:35:26.939,1,40000014,Matt Kuchar
142,2016-03-15 01:12:03.883,1,40001594,Gary Woodland
143,2016-03-15 01:21:51.936,1,40000314,Jason Day
144,2016-03-15 01:22:02.290,1,40001501,Camilo Villegas
145,2016-03-15 01:38:32.619,1,40000182,Scott Brown
146,2016-03-15 02:01:29.128,1,40000016,Billy Horschel
147,2016-03-15 02:01:40.916,1,40000152,Keegan Bradley
148,2016-03-15 02:03:29.388,1,40000012,Zach Johnson
149,2016-03-15 02:09:40.764,1,40000006,Paul Casey
