,created_on,message,Annotation,sentiment_12h_database,player,Annotation_converted,vader_sentiment,vader_positive,vader_negative,vader_neutral,vader_compound
0,06:53.5,I wanna hear your 2 favorite GPP DK sleepers under $7K for the @WMPhoenixOpen. Mine: Lahari &amp; Greg Owen,1,positive,greg owen,positive,positive,0.348,0.0,0.652,0.8402
1,06:53.5,I wanna hear your 2 favorite GPP DK sleepers under $7K for the @WMPhoenixOpen. Mine: Lahari &amp; Greg Owen,1,positive,anirban lahiri,positive,positive,0.348,0.0,0.652,0.8402
2,42:45.2,@DKDFStrength if @ALoupe6 gets in... All in on that bombshow,1,positive,andrew loupe,positive,neutral,0.0,0.0,1.0,0.0
3,08:16.1,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,1,positive,hideki matsuyama,positive,neutral,0.0,0.0,1.0,0.0
4,08:16.1,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,1,neutral,bubba watson,positive,neutral,0.0,0.0,1.0,0.0
5,08:16.1,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,1,neutral,ryan moore,positive,neutral,0.0,0.0,1.0,0.0
6,08:16.1,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,1,positive,kevin kisner,positive,neutral,0.0,0.0,1.0,0.0
7,08:16.1,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,1,positive,brooks koepka,positive,neutral,0.0,0.0,1.0,0.0
8,08:16.1,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,1,positive,ryan palmer,positive,neutral,0.0,0.0,1.0,0.0
9,03:00.6,"Really digging Jon Curran this week. $7,300, 5th in SG: PUTT and 1st in Birdie % from &gt; 125 yards. Coming off a T11 at WMO too.",1,positive,jon curran,positive,neutral,0.0,0.0,1.0,0.0
10,29:47.5,Bargain play this week: Richard Lee. 3 career starts @attproam - 3 top-15s. More rounds of 66/better (3) than rounds over par (2).,1,neutral,richard h.,positive,positive,0.186,0.0,0.814,0.4767
11,38:09.9,Best cumulative score to par @attproam last 5 years: J. Walker -55 H. Mahan -44 D. Johnson -36 A. Baddeley -35 B. Molder -35,1,neutral,jimmy walker,positive,positive,0.16,0.0,0.84,0.6369
12,41:12.0,"Since making debut @attproam in 2008, Dustin Johnson is a combined 73 under par - 25 better than anyone else in that span (2nd: Day, -43).",1,neutral,dustin johnson,positive,positive,0.112,0.0,0.888,0.4404
13,00:41.0,"Matt Every $6,600 has withdrawn from the tournament. Get him out of your lineups.",111,negative,matt every,negative,neutral,0.0,0.0,1.0,0.0
14,54:24.2,"Keep an eye on Steve Marino this week. Played South Florida mini tours for years, making cuts, and only $5900 on DK.",1,positive,steve marino,positive,positive,0.098,0.089,0.813,0.0516
15,41:01.7,A notable field ▲ at @TheHondaClassic: OUT @webbsimpson1 IN @Dawie1983 (alternate),111,negative,webb simpson,negative,neutral,0.0,0.0,1.0,0.0
16,43:21.0,"Like chances of @Ben_Martin87 at 189/1 in the #HondaClassic. Martin finished nicely last week, has form in Florida and shot 65 here in 2015",1,positive,ben martin,positive,positive,0.255,0.0,0.745,0.7351
17,00:31.2,I think we've figured out that Smylie Kaufman will be the highest owned guy below 7000,1,positive,smylie kaufman,positive,neutral,0.0,0.0,1.0,0.0
18,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,positive,bill haas,positive,negative,0.0,0.095,0.905,-0.2732
19,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,neutral,jonas blixt,positive,negative,0.0,0.095,0.905,-0.2732
20,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,neutral,ryan moore,positive,negative,0.0,0.095,0.905,-0.2732
21,49:21.8,#BlueMonster Low rounds (since 2014 redo): Holmes: 62/R1 ('15) Haas: 65/R3 ('15) Moore: 66/R1 ('15) Woods: 66/R3 ('14) Blixt: 66/R4 ('14),1,positive,j.b. holmes,positive,negative,0.0,0.095,0.905,-0.2732
22,06:15.7,@ThePME @DraftKings I'm leaning Haas. The contrarian of all contrarian picks,1,positive,bill haas,positive,positive,0.333,0.0,0.667,0.7184
23,49:12.0,"Willett's wife due Masters week: ""If he fancies coming out early on, it would be great. If not, I won't be playing""",111,negative,danny willett,negative,positive,0.226,0.0,0.774,0.6745
24,54:57.0,Doral has 5 Par 4s from 425-450. @JDayGolf ranks 1st in field in scoring at that gap (-.13) @JBHolmesgolf ranks 1st in SGT2G 425-440 (.084),1,positive,jason day,positive,neutral,0.0,0.0,1.0,0.0
25,54:57.0,Doral has 5 Par 4s from 425-450. @JDayGolf ranks 1st in field in scoring at that gap (-.13) @JBHolmesgolf ranks 1st in SGT2G 425-440 (.084),1,positive,j.b. holmes,positive,neutral,0.0,0.0,1.0,0.0
26,11:08.3,"VALSPAR DK POLL: Favorite Player $7K-$8K Favorite Plater Sub-$7K I’ll go John Huh ($7,700) &amp; Morgan Hoffmann ($6,100)",1,positive,john huh,positive,positive,0.273,0.0,0.727,0.7184
27,11:08.3,"VALSPAR DK POLL: Favorite Player $7K-$8K Favorite Plater Sub-$7K I’ll go John Huh ($7,700) &amp; Morgan Hoffmann ($6,100)",1,positive,morgan hoffmann,positive,positive,0.273,0.0,0.727,0.7184
28,16:36.7,@ThePME sung Kang ($7700) &amp; Mark Hubbard ($5700),11,neutral,sung hoon,neutral,neutral,0.0,0.0,1.0,0.0
29,16:36.7,@ThePME sung Kang ($7700) &amp; Mark Hubbard ($5700),11,neutral,mark hubbard,neutral,neutral,0.0,0.0,1.0,0.0
30,38:20.2,"Brett Stegmaier 200/1. T18 at Valspar, T21 at Honda. T2 at at the Shiners in the Fall. 25th in Prox 200+. &amp; 51st in P4 Scoring. Went to UF 🐊",1,neutral,brett stegmaier,positive,negative,0.0,0.108,0.892,-0.5423
31,58:22.7,Best score to par at @APinv since 2012 @henrikstenson -36 Matt Every -32 Tiger Woods -26 K. Bradley -24 K. Na -23,1,neutral,henrik stenson,positive,positive,0.167,0.0,0.833,0.6369
32,58:22.7,Best score to par at @APinv since 2012 @henrikstenson -36 Matt Every -32 Tiger Woods -26 K. Bradley -24 K. Na -23,1,neutral,matt every,positive,positive,0.167,0.0,0.833,0.6369
33,58:22.7,Best score to par at @APinv since 2012 @henrikstenson -36 Matt Every -32 Tiger Woods -26 K. Bradley -24 K. Na -23,1,positive,keegan bradley,positive,positive,0.167,0.0,0.833,0.6369
34,03:20.5,"Looking for a sleeper pick for @APinv? Try @ZachJohnsonPGA. Played last 12 years here, 1 MC, 5 finishes of T-11 or better",1,positive,zach johnson,positive,positive,0.392,0.0,0.608,0.8834
35,47:25.8,Tony Finau averaging 1.6 birdies per round over his last 8 competitive rounds....😨,111,negative,tony finau,negative,positive,0.134,0.0,0.866,0.1779
36,22:27.4,@Wheells59 @FGMetrics I'll be fading him. Will probably throw him in 1 lineup for fun. Would be cool to see a guy like that win 3 straight,111,neutral,matt every,negative,positive,0.421,0.0,0.579,0.9153
37,24:00.6,"@ThePME @DraftKings Would Moore be considered a popular pick? Kuchar too. Moore and Kuch, gotta go.",111,positive,ryan moore,negative,positive,0.375,0.0,0.625,0.8316
38,24:00.6,"@ThePME @DraftKings Would Moore be considered a popular pick? Kuchar too. Moore and Kuch, gotta go.",111,neutral,matt kuchar,negative,positive,0.375,0.0,0.625,0.8316
39,03:59.5,"Who are everyone’s fav Sub 7K sleepers on DK for the Puerto Rico Open? I’ll be sampling some Dawie van der Walt at $6,300",1,positive,brice garnett,positive,positive,0.267,0.0,0.733,0.8402
40,19:29.8,"Of course, don’t overlook South African Dean Burmeister either. No. 88 in the World Ranks Recent Form (On lesser Tours): 3/2/2/4",1,positive,david toms,positive,negative,0.0,0.231,0.769,-0.6908
41,41:56.3,"After a cross reference of the numbers Jerry Kelly checks three of the four boxes, as does David Toms. Jonathan Byrd also rates highly",1,positive,jonathan byrd,positive,neutral,0.0,0.0,1.0,0.0
42,54:31.7,"Will MacKenzie 66/1. 36 hole leader in Tampa. Since '14, T14 or better at Sea Island, Pebble, Puerto Rico, Honda, Valspar, twice at Mayakoba",1,neutral,will mackenzie,positive,positive,0.112,0.0,0.888,0.4404
43,04:47.8,"The leader in par 4 scoring at the SHO has won three out of the last four years. So, if you're looking for a winner...",1,neutral,vaughn taylor,positive,positive,0.144,0.0,0.856,0.5719
44,04:47.8,"The leader in par 4 scoring at the SHO has won three out of the last four years. So, if you're looking for a winner...",1,positive,brooks koepka,positive,positive,0.144,0.0,0.856,0.5719
45,04:47.8,"The leader in par 4 scoring at the SHO has won three out of the last four years. So, if you're looking for a winner...",1,positive,jordan spieth,positive,positive,0.144,0.0,0.856,0.5719
46,07:36.3,Patton Kizzire 100/1. Hasn't missed a cut since the Sony. Made it out of the group stage at the Match Play. 6th in SGP &amp; 36th in P5 Scoring.,1,positive,patton kizzire,positive,positive,0.22,0.0,0.78,0.7239
47,09:17.6,Backed @russhenleygolf at 129/1 in the @ShellHouOpen. Out of form currently but big talent whose finished inside top 7 here in last 2 years,1,positive,russell henley,positive,positive,0.268,0.0,0.732,0.714
48,12:12.9,Gone with @CamTringalePGA at 119/1 in the @ShellHouOpen. Still waiting for 1st win but it could be his best chance. Three top 10s since 2012,1,positive,cameron tringale,positive,positive,0.381,0.0,0.619,0.9169
49,26:48.0,"Sean OHair at 150-1? top 40 distance top 15 strokes gained putting, no idea why a book would have him higher than guys like campbell/jaidee",1,neutral,sean o'hair,positive,positive,0.291,0.074,0.635,0.6705
50,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,andres romero,neutral,positive,0.157,0.0,0.843,0.4404
51,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,steve marino,neutral,positive,0.157,0.0,0.843,0.4404
52,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,luke guthrie,neutral,positive,0.157,0.0,0.843,0.4404
53,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,brian gay,neutral,positive,0.157,0.0,0.843,0.4404
54,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,rodolfo cazaubon,neutral,positive,0.157,0.0,0.843,0.4404
55,40:08.7,"First field ▲s at the @ShellHouOpen, part 2 of 2: IN (* = top 10 at PRO) Campos* Cazaubon* Gay (late) Guthrie (sponsor) Marino* Romero*",11,neutral,rafael campos,neutral,positive,0.157,0.0,0.843,0.4404
56,18:30.8,Backed Phil Mickelson at 21/1 in the #ShellHoustonOpen. Lefty's playing really well this season and the 2011 champion can go close this week,1,neutral,phil mickelson,positive,positive,0.319,0.0,0.681,0.7841
57,30:56.0,Favorite Sub $6500 players on DK this week? I'm digging Vijay and Vaughn,1,neutral,vaughn taylor,positive,positive,0.2,0.0,0.8,0.4588
58,30:56.0,Favorite Sub $6500 players on DK this week? I'm digging Vijay and Vaughn,1,neutral,vijay singh,positive,positive,0.2,0.0,0.8,0.4588
59,44:39.8,Latest field ▲ at the @ShellHouOpen: OUT @BronsonBurgoon IN Sung Kang (alternate),11,neutral,sung hoon,neutral,neutral,0.0,0.0,1.0,0.0
60,44:39.8,Latest field ▲ at the @ShellHouOpen: OUT @BronsonBurgoon IN Sung Kang (alternate),11,neutral,bronson burgoon,neutral,neutral,0.0,0.0,1.0,0.0
61,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,luke donald,neutral,positive,0.239,0.132,0.629,0.4019
62,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,branden grace,neutral,positive,0.239,0.132,0.629,0.4019
63,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,brandt snedeker,neutral,positive,0.239,0.132,0.629,0.4019
64,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,shane lowry,neutral,positive,0.239,0.132,0.629,0.4019
65,31:17.5,The last 18 Masters winner have made the cut the year previous.,11,neutral,james hahn,neutral,positive,0.239,0.132,0.629,0.4019
