,created_on,message,player,sentiment_12h_database
0,2016-02-02 19:06:53.476,I wanna hear your 2 favorite GPP DK sleepers under $7K for the @WMPhoenixOpen. Mine: Lahari &amp; Greg Owen,greg owen,positive
1,2016-02-02 19:06:53.476,I wanna hear your 2 favorite GPP DK sleepers under $7K for the @WMPhoenixOpen. Mine: Lahari &amp; Greg Owen,anirban lahiri,positive
2,2016-02-03 22:42:45.250,@DKDFStrength if @ALoupe6 gets in... All in on that bombshow,andrew loupe,positive
3,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,hideki matsuyama,positive
4,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,bubba watson,neutral
5,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,ryan moore,neutral
6,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,kevin kisner,positive
7,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,brooks koepka,positive
8,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,ryan palmer,positive
9,2016-02-09 03:03:00.592,"Really digging Jon Curran this week. $7,300, 5th in SG: PUTT and 1st in Birdie % from &gt; 125 yards. Coming off a T11 at WMO too.",jon curran,positive
10,2016-02-09 21:29:47.527,Bargain play this week: Richard Lee. 3 career starts @attproam - 3 top-15s. More rounds of 66/better (3) than rounds over par (2).,richard h.,neutral
11,2016-02-10 00:38:09.892,Best cumulative score to par @attproam last 5 years: J. Walker -55 H. Mahan -44 D. Johnson -36 A. Baddeley -35 B. Molder -35,jimmy walker,neutral
12,2016-02-10 00:41:12.040,"Since making debut @attproam in 2008, Dustin Johnson is a combined 73 under par - 25 better than anyone else in that span (2nd: Day, -43).",dustin johnson,neutral
13,2016-02-10 13:12:08.210,California Course Horses... Alex Prugh leading the way as a specialist. https://t.co/W4oAnpdZrP,alex prugh,positive
14,2016-02-10 15:00:40.952,"Matt Every $6,600 has withdrawn from the tournament. Get him out of your lineups.",matt every,negative
15,2016-02-14 14:09:03.934,"""Drive for show putt for dough."" While all of the talk heading into today's fourth round at the… https://t.co/Npm3spGsoz",phil mickelson,neutral
16,2016-02-14 14:09:03.934,"""Drive for show putt for dough."" While all of the talk heading into today's fourth round at the… https://t.co/Npm3spGsoz",sung hoon,neutral
