,created_on,message,player
0,2016-02-02 19:06:53.476,I wanna hear your 2 favorite GPP DK sleepers under $7K for the @WMPhoenixOpen. Mine: Lahari &amp; Greg Owen,greg owen
0,2016-02-02 19:06:53.476,I wanna hear your 2 favorite GPP DK sleepers under $7K for the @WMPhoenixOpen. Mine: Lahari &amp; Greg Owen,anirban lahiri
0,2016-02-03 22:42:45.250,@DKDFStrength if @ALoupe6 gets in... All in on that bombshow,andrew loupe
0,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,hideki matsuyama
0,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,bubba watson
0,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,ryan moore
0,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,kevin kisner
0,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,brooks koepka
0,2016-02-04 03:08:16.148,Yahoo! gamers: My lineup for the @WMPhoenixOpen * = starter A: *Watson; Moore B: *Kisner; *Matsuyama; Koepka; Palmer C: *Na; Lingmerth,ryan palmer
0,2016-02-09 03:03:00.592,"Really digging Jon Curran this week. $7,300, 5th in SG: PUTT and 1st in Birdie % from &gt; 125 yards. Coming off a T11 at WMO too.",jon curran
0,2016-02-09 21:29:47.527,Bargain play this week: Richard Lee. 3 career starts @attproam - 3 top-15s. More rounds of 66/better (3) than rounds over par (2).,richard h.
0,2016-02-10 00:38:09.892,Best cumulative score to par @attproam last 5 years: J. Walker -55 H. Mahan -44 D. Johnson -36 A. Baddeley -35 B. Molder -35,jimmy walker
0,2016-02-10 00:41:12.040,"Since making debut @attproam in 2008, Dustin Johnson is a combined 73 under par - 25 better than anyone else in that span (2nd: Day, -43).",dustin johnson
0,2016-02-10 13:12:08.210,California Course Horses... Alex Prugh leading the way as a specialist. https://t.co/W4oAnpdZrP,alex prugh
0,2016-02-10 15:00:40.952,"Matt Every $6,600 has withdrawn from the tournament. Get him out of your lineups.",matt every
0,2016-02-14 14:09:03.934,"""Drive for show putt for dough."" While all of the talk heading into today's fourth round at the… https://t.co/Npm3spGsoz",phil mickelson
0,2016-02-14 14:09:03.934,"""Drive for show putt for dough."" While all of the talk heading into today's fourth round at the… https://t.co/Npm3spGsoz",sung hoon
0,2016-02-14 14:09:03.934,"""Drive for show putt for dough."" While all of the talk heading into today's fourth round at the… https://t.co/Npm3spGsoz",fredrik jacobson
0,2016-02-14 14:09:03.934,"""Drive for show putt for dough."" While all of the talk heading into today's fourth round at the… https://t.co/Npm3spGsoz",hiroshi iwata
0,2016-02-23 01:45:05.649,Honda Picks and Preview... https://t.co/GSZbGRIk0f,patrick reed
0,2016-02-23 01:45:05.649,Honda Picks and Preview... https://t.co/GSZbGRIk0f,brooks koepka
